hours,WE,WD,both,site_grouping,month
12,7.960488088,8.987547374,8.319152959,3EDM,September
13,7.088901801,8.554412561,7.600680658,3EDM,September
14,6.449738524,8.229561451,7.071280015,3EDM,September
15,5.926786752,7.038440715,6.314993382,3EDM,September
16,5.665310866,6.605305901,5.993571564,3EDM,September
17,5.17141197,6.280454792,5.55870675,3EDM,September
18,4.532248693,6.063887385,5.067120439,3EDM,September
19,3.253922138,3.681645912,3.403289847,3EDM,September
20,0.755374782,0.541418517,0.680657969,3EDM,September
21,0,0,0,3EDM,September
22,0,0,0,3EDM,September
5,0.326348334,0.332986472,0.329349769,2EDM,September
6,5.376159395,6.035379813,5.674226028,2EDM,September
7,9.395396771,9.448491155,9.419403406,2EDM,September
8,10.75231879,10.61394381,10.68975252,2EDM,September
9,11.02713844,11.21748179,11.11320222,2EDM,September
10,10.97560976,11.38397503,11.16025219,2EDM,September
11,10.83819993,10.78043704,10.81208243,2EDM,September
12,9.549982824,8.990634755,9.297073492,2EDM,September
13,7.935417382,7.013527575,7.518584737,2EDM,September
14,6.355204397,6.139438085,6.25764562,2EDM,September
15,5.135692202,5.140478668,5.137856404,2EDM,September
16,4.190999656,3.579604579,3.91455726,2EDM,September
17,3.280659567,3.704474506,3.472287569,2EDM,September
18,2.507729303,2.934443288,2.70066811,2EDM,September
19,1.940913775,2.414151925,2.154888492,2EDM,September
20,0.412229474,0.270551509,0.348169756,2EDM,September
21,0,0,0,2EDM,September
22,x,y,z,2EDM,September
5,0.971922246,0.395022714,0.70115596,1EDM,September
6,4.913606911,3.71321351,4.330111806,1EDM,September
7,7.919366451,7.663440648,7.807466363,1EDM,September
8,9.953203744,9.57930081,9.759332954,1EDM,September
9,10.85313175,10.36934624,10.60261512,1EDM,September
10,11.26709863,10.68536441,10.96266818,1EDM,September
11,10.97912167,10.626111,10.78264165,1EDM,September
12,9.755219582,9.480545131,9.607731666,1EDM,September
13,8.549316055,8.275725854,8.413871518,1EDM,September
14,6.803455724,6.833892949,6.812582907,1EDM,September
15,5.615550756,5.8660873,5.760848967,1EDM,September
16,4.67962563,5.293304365,5.002842524,1EDM,September
17,3.473722102,4.760023701,4.112184954,1EDM,September
18,2.357811375,3.752715781,3.041500853,1EDM,September
19,1.241900648,2.42938969,1.819215463,1EDM,September
20,0.665946724,0.2765159,0.483229107,1EDM,September
21,0,0,0,1EDM,September
22,x,y,z,1EDM,September
